Date,Word,Count
2024-01-01,apollo,       1
2024-01-02,apollo,       1
2024-01-03,apollo,       1
2024-01-06,apollo,       1
2024-01-09,apollo,       1
2024-01-12,apollo,       1
2024-01-13,apollo,       1
2024-01-15,apollo,       1
2024-01-16,apollo,       1
2024-01-17,apollo,       1
2024-01-18,apollo,       1
2024-01-21,apollo,       1
2024-01-24,apollo,       1
2024-01-27,apollo,       1
2024-01-28,apollo,       1
2024-01-30,apollo,       1
2024-01-31,apollo,       1
2024-02-01,apollo,       1
2024-02-02,apollo,       1
2024-02-05,apollo,       1
2024-02-08,apollo,       1
2024-02-11,apollo,       1
2024-02-12,apollo,       1
2024-02-14,apollo,       1
2024-02-15,apollo,       1
2024-02-16,apollo,       1
2024-02-17,apollo,       1
2024-02-20,apollo,       1
2024-02-23,apollo,       1
2024-02-26,apollo,       1
2024-02-27,apollo,       1
2024-02-29,apollo,       1
2024-03-01,apollo,       1
2024-03-02,apollo,       1
2024-03-03,apollo,       1
2024-03-06,apollo,       1
2024-03-09,apollo,       1
2024-03-12,apollo,       1
2024-03-13,apollo,       1
2024-03-15,apollo,       1
2024-03-16,apollo,       1
2024-03-17,apollo,       1
2024-03-18,apollo,       1
2024-03-21,apollo,       1
2024-03-24,apollo,       1
2024-03-27,apollo,       1
2024-03-28,apollo,       1
2024-03-30,apollo,       1
2024-03-31,apollo,       1
2024-04-01,apollo,       1
2024-04-02,apollo,       1
2024-04-05,apollo,       1
2024-04-08,apollo,       1
2024-04-11,apollo,       1
2024-04-12,apollo,       1
2024-04-14,apollo,       1
2024-04-15,apollo,       1
2024-04-16,apollo,       1
2024-04-17,apollo,       1
2024-04-20,apollo,       1
2024-04-23,apollo,       1
2024-04-26,apollo,       1
2024-04-27,apollo,       1
2024-04-29,apollo,       1
2024-04-30,apollo,       1
2024-05-01,apollo,       1
2024-05-02,apollo,       1
2024-05-05,apollo,       1
2024-05-08,apollo,       1
2024-05-11,apollo,       1
2024-05-12,apollo,       1
2024-05-14,apollo,       1
2024-05-15,apollo,       1
2024-05-16,apollo,       1
2024-05-17,apollo,       1
2024-05-20,apollo,       1
2024-05-23,apollo,       1
2024-05-26,apollo,       1
2024-05-27,apollo,       1
2024-05-29,apollo,       1
