Date,Word,Count
2024-01-01,Apollo,1
2024-01-01,Apollo,1
2024-01-02,Apollo,1
2024-01-03,Apollo,1
2024-01-04,Vega,1
2024-01-04,Vega,1
2024-01-05,planning,1
2024-01-05,Vega,1
2024-01-06,Apollo,1
2024-01-09,Apollo,1
2024-01-11,Vega,1
2024-01-11,Vega,1
2024-01-12,Apollo,1
2024-01-13,Apollo,1
2024-01-15,Apollo,1
2024-01-15,Vega,1
2024-01-15,Apollo,1
2024-01-15,Vega,1
2024-01-16,Apollo,1
2024-01-17,Apollo,1
2024-01-18,Apollo,1
2024-01-18,Apollo,1
2024-01-19,Vega,1
2024-01-20,planning,1
2024-01-20,Vega,1
2024-01-20,planning,1
2024-01-20,Vega,1
2024-01-21,Apollo,1
2024-01-24,Apollo,1
2024-01-24,Apollo,1
2024-01-26,Vega,1
2024-01-27,Apollo,1
2024-01-27,Apollo,1
2024-01-28,Apollo,1
2024-01-30,Apollo,1
2024-01-30,Vega,1
2024-01-30,Apollo,1
2024-01-30,Vega,1
2024-01-31,Apollo,1
2024-02-01,Apollo,1
2024-02-02,Apollo,1
2024-02-03,Vega,1
2024-02-04,planning,1
2024-02-04,Vega,1
2024-02-05,Apollo,1
2024-02-08,Apollo,1
2024-02-10,Vega,1
2024-02-10,Vega,1
2024-02-11,Apollo,1
2024-02-12,Apollo,1
2024-02-12,Apollo,1
2024-02-14,Apollo,1
2024-02-14,Vega,1
2024-02-15,Apollo,1
2024-02-16,Apollo,1
2024-02-17,Apollo,1
2024-02-18,Vega,1
2024-02-19,planning,1
2024-02-19,Vega,1
2024-02-20,Apollo,1
2024-02-23,Apollo,1
2024-02-23,Apollo,1
2024-02-25,Vega,1
2024-02-26,Apollo,1
2024-02-27,Apollo,1
2024-02-27,Apollo,1
2024-02-29,Apollo,1
2024-02-29,Vega,1
2024-03-01,Apollo,1
2024-03-01,Apollo,1
2024-03-02,Apollo,1
2024-03-03,Apollo,1
2024-03-04,Vega,1
2024-03-05,planning,1
2024-03-05,Vega,1
2024-03-05,planning,1
2024-03-05,Vega,1
2024-03-06,Apollo,1
2024-03-06,Apollo,1
2024-03-09,Apollo,1
2024-03-11,Vega,1
2024-03-12,Apollo,1
2024-03-12,Apollo,1
2024-03-13,Apollo,1
2024-03-15,Apollo,1
2024-03-15,Vega,1
2024-03-15,Apollo,1
2024-03-15,Vega,1
2024-03-16,Apollo,1
2024-03-16,Apollo,1
2024-03-17,Apollo,1
2024-03-17,Apollo,1
2024-03-18,Apollo,1
2024-03-19,Vega,1
2024-03-20,planning,1
2024-03-20,Vega,1
2024-03-20,planning,1
2024-03-20,Vega,1
2024-03-21,Apollo,1
2024-03-21,Apollo,1
2024-03-24,Apollo,1
2024-03-24,Apollo,1
2024-03-26,Vega,1
2024-03-26,Vega,1
2024-03-27,Apollo,1
2024-03-27,Apollo,1
2024-03-28,Apollo,1
2024-03-30,Apollo,1
2024-03-30,Vega,1
2024-03-30,Apollo,1
2024-03-30,Vega,1
2024-03-31,Apollo,1
2024-04-01,Apollo,1
2024-04-02,Apollo,1
2024-04-02,Apollo,1
2024-04-03,Vega,1
2024-04-03,Vega,1
2024-04-04,planning,1
2024-04-04,Vega,1
2024-04-04,planning,1
2024-04-04,Vega,1
2024-04-05,Apollo,1
2024-04-05,Apollo,1
2024-04-08,Apollo,1
2024-04-08,Apollo,1
2024-04-10,Vega,1
2024-04-11,Apollo,1
2024-04-11,Apollo,1
2024-04-12,Apollo,1
2024-04-12,Apollo,1
2024-04-14,Apollo,1
2024-04-14,Vega,1
2024-04-14,Apollo,1
2024-04-14,Vega,1
2024-04-15,Apollo,1
2024-04-16,Apollo,1
2024-04-17,Apollo,1
2024-04-17,Apollo,1
2024-04-18,Vega,1
2024-04-18,Vega,1
2024-04-19,planning,1
2024-04-19,Vega,1
2024-04-19,planning,1
2024-04-19,Vega,1
2024-04-20,Apollo,1
2024-04-20,Apollo,1
2024-04-23,Apollo,1
2024-04-23,Apollo,1
2024-04-25,Vega,1
2024-04-26,Apollo,1
2024-04-26,Apollo,1
2024-04-27,Apollo,1
2024-04-27,Apollo,1
2024-04-29,Apollo,1
2024-04-29,Vega,1
2024-04-29,Apollo,1
2024-04-29,Vega,1
2024-04-30,Apollo,1
2024-05-01,Apollo,1
2024-05-01,Apollo,1
2024-05-02,Apollo,1
2024-05-02,Apollo,1
2024-05-03,Vega,1
2024-05-03,Vega,1
2024-05-04,planning,1
2024-05-04,Vega,1
2024-05-04,planning,1
2024-05-04,Vega,1
2024-05-05,Apollo,1
2024-05-05,Apollo,1
2024-05-08,Apollo,1
2024-05-08,Apollo,1
2024-05-10,Vega,1
2024-05-10,Vega,1
2024-05-11,Apollo,1
2024-05-11,Apollo,1
2024-05-12,Apollo,1
2024-05-12,Apollo,1
2024-05-14,Apollo,1
2024-05-14,Vega,1
2024-05-14,Apollo,1
2024-05-14,Vega,1
2024-05-15,Apollo,1
2024-05-15,Apollo,1
2024-05-16,Apollo,1
2024-05-17,Apollo,1
2024-05-18,Vega,1
2024-05-18,Vega,1
2024-05-19,planning,1
2024-05-19,Vega,1
2024-05-19,planning,1
2024-05-19,Vega,1
2024-05-20,Apollo,1
2024-05-20,Apollo,1
2024-05-23,Apollo,1
2024-05-23,Apollo,1
2024-05-25,Vega,1
2024-05-25,Vega,1
2024-05-26,Apollo,1
2024-05-26,Apollo,1
2024-05-27,Apollo,1
2024-05-29,Apollo,1
2024-05-29,Vega,1
2024-05-29,Apollo,1
2024-05-29,Vega,1
